vod1,#genre#
7月-251深田,https://t4s.cdn2020.com/video/m3u8/2020/08/12/b2a49e99/index.m3u8
7月-306水戸,https://t4s.cdn2020.com/video/m3u8/2020/09/20/c1625a99/index.m3u8
7月-331水戸,https://t5s.cdn2020.com/video/m3u8/2020/10/18/d7e7d49a/index.m3u8
7月-356君島,https://t5s.cdn2020.com/video/m3u8/2020/11/03/a7b9fb82/index.m3u8
7月-393水戸,https://t5s.cdn2020.com/video/m3u8/2020/12/13/891a5b24/index.m3u8
7月-428水戸,https://t6s.cdn2020.com/video/m3u8/2021/01/24/cf1b0fdb/index.m3u8
7月-447鈴,https://t6s.cdn2020.com/video/m3u8/2021/02/16/a0ae845e/index.m3u8
7月-633水戸,https://t6s.cdn2020.com:12335/video/m3u8/2021/07/22/1318b5d5/index.m3u8
7月-641花狩,https://t6s.cdn2020.com:12335/video/m3u8/2021/07/22/65a14ed0/index.m3u8
7月-669水戸,https://t6s.cdn2020.com:12335/video/m3u8/2021/08/09/d6462b62/index.m3u8
7月-703ハート,https://t11.cdn2020.com:12336/video/m3u8/2021/09/19/614150bf/index.m3u8
7月-731水戸,https://t12.cdn2020.com:12337/video/m3u8/2021/10/23/821a9e5e/index.m3u8
7月-743大槻,https://t12.cdn2020.com:12337/video/m3u8/2021/10/23/b889eae2/index.m3u8
7月-756水野朝陽,https://t12.cdn2020.com:12337/video/m3u8/2021/11/06/d081d296/index.m3u8
7月-766水戸,https://t15.cdn2020.com:12338/video/m3u8/2021/11/17/a69333e8/index.m3u8
7月-784北野未奈,https://t15.cdn2020.com:12338/video/m3u8/2021/11/28/8690213c/index.m3u8
7月-795水戸,https://t15.cdn2020.com:12338/video/m3u8/2021/12/22/93fcc32e/index.m3u8
7月-808ハート,https://t15.cdn2020.com:12339/video/m3u8/2022/01/03/5fca33ef/index.m3u8
7月-825水戸,https://t15.cdn2020.com:12339/video/m3u8/2022/01/21/cd632479/index.m3u8
